dt_hr_update;nm_pais;nm_capital;nm_currency;nm_continente
2024-09-02T23:34:36;Afghanistan;Kabul;Afghani;Asia
2024-09-02T23:34:36;Aland Islands;Mariehamn;Euro;Europe
2024-09-02T23:34:37;Albania;Tirana;Lek;Europe
2024-09-02T23:34:37;Algeria;Algiers;Dinar;Africa
2024-09-02T23:34:37;American Samoa;Pago Pago;Dollar;Oceania
2024-09-02T23:34:37;Andorra;Andorra la Vella;Euro;Europe
2024-09-02T23:34:37;Angola;Luanda;Kwanza;Africa
2024-09-02T23:34:37;Anguilla;The Valley;Dollar;North America
2024-09-02T23:34:38;Antarctica;;;Antractica
2024-09-02T23:34:38;Antigua and Barbuda;St. John's;Dollar;North America
2024-09-02T23:34:38;Argentina;Buenos Aires;Peso;South America
2024-09-02T23:34:38;Armenia;Yerevan;Dram;Asia
2024-09-02T23:34:38;Aruba;Oranjestad;Guilder;North America
2024-09-02T23:34:39;Australia;Canberra;Dollar;Oceania
2024-09-02T23:34:39;Austria;Vienna;Euro;Europe
2024-09-02T23:34:39;Azerbaijan;Baku;Manat;Asia
2024-09-02T23:34:39;Bahamas;Nassau;Dollar;North America
2024-09-02T23:34:39;Bahrain;Manama;Dinar;Asia
2024-09-02T23:34:39;Bangladesh;Dhaka;Taka;Asia
2024-09-02T23:34:40;Barbados;Bridgetown;Dollar;North America
2024-09-02T23:34:40;Belarus;Minsk;Ruble;Europe
2024-09-02T23:34:40;Belgium;Brussels;Euro;Europe
2024-09-02T23:34:40;Belize;Belmopan;Dollar;North America
2024-09-02T23:34:40;Benin;Porto-Novo;Franc;Africa
2024-09-02T23:34:40;Bermuda;Hamilton;Dollar;North America
2024-09-02T23:34:41;Bhutan;Thimphu;Ngultrum;Asia
2024-09-02T23:34:41;Bolivia;Sucre;Boliviano;South America
2024-09-02T23:34:41;Bonaire, Saint Eustatius and Saba;;Dollar;North America
2024-09-02T23:34:41;Bosnia and Herzegovina;Sarajevo;Marka;Europe
2024-09-02T23:34:41;Botswana;Gaborone;Pula;Africa
2024-09-02T23:34:42;Bouvet Island;;Krone;Antractica
2024-09-02T23:34:42;Brazil;Brasilia;Real;South America
2024-09-02T23:34:42;British Indian Ocean Territory;Diego Garcia;Dollar;Asia
2024-09-02T23:34:42;British Virgin Islands;Road Town;Dollar;North America
2024-09-02T23:34:42;Brunei;Bandar Seri Begawan;Dollar;Asia
2024-09-02T23:34:42;Bulgaria;Sofia;Lev;Europe
2024-09-02T23:34:43;Burkina Faso;Ouagadougou;Franc;Africa
2024-09-02T23:34:43;Burundi;Bujumbura;Franc;Africa
2024-09-02T23:34:43;Cambodia;Phnom Penh;Riels;Asia
2024-09-02T23:34:43;Cameroon;Yaounde;Franc;Africa
2024-09-02T23:34:43;Canada;Ottawa;Dollar;North America
2024-09-02T23:34:44;Cape Verde;Praia;Escudo;Africa
2024-09-02T23:34:44;Cayman Islands;George Town;Dollar;North America
2024-09-02T23:34:44;Central African Republic;Bangui;Franc;Africa
2024-09-02T23:34:44;Chad;N'Djamena;Franc;Africa
2024-09-02T23:34:44;Chile;Santiago;Peso;South America
2024-09-02T23:34:44;China;Beijing;Yuan Renminbi;Asia
2024-09-02T23:34:45;Christmas Island;Flying Fish Cove;Dollar;Asia
2024-09-02T23:34:45;Cocos Islands;West Island;Dollar;Asia
2024-09-02T23:34:45;Colombia;Bogota;Peso;South America
2024-09-02T23:34:45;Comoros;Moroni;Franc;Africa
2024-09-02T23:34:45;Cook Islands;Avarua;Dollar;Oceania
2024-09-02T23:34:46;Costa Rica;San Jose;Colon;North America
2024-09-02T23:34:46;Croatia;Zagreb;Kuna;Europe
2024-09-02T23:34:46;Cuba;Havana;Peso;North America
2024-09-02T23:34:46;Curacao;Willemstad;Guilder;North America
2024-09-02T23:34:46;Cyprus;Nicosia;Euro;Europe
2024-09-02T23:34:47;Czech Republic;Prague;Koruna;Europe
2024-09-02T23:34:47;Democratic Republic of the Congo;Kinshasa;Franc;Africa
2024-09-02T23:34:47;Denmark;Copenhagen;Krone;Europe
2024-09-02T23:34:47;Djibouti;Djibouti;Franc;Africa
2024-09-02T23:34:47;Dominica;Roseau;Dollar;North America
2024-09-02T23:34:47;Dominican Republic;Santo Domingo;Peso;North America
2024-09-02T23:34:48;East Timor;Dili;Dollar;Oceania
2024-09-02T23:34:48;Ecuador;Quito;Dollar;South America
2024-09-02T23:34:48;Egypt;Cairo;Pound;Africa
2024-09-02T23:34:48;El Salvador;San Salvador;Dollar;North America
2024-09-02T23:34:48;Equatorial Guinea;Malabo;Franc;Africa
2024-09-02T23:34:49;Eritrea;Asmara;Nakfa;Africa
2024-09-02T23:34:49;Estonia;Tallinn;Euro;Europe
2024-09-02T23:34:49;Ethiopia;Addis Ababa;Birr;Africa
2024-09-02T23:34:49;Falkland Islands;Stanley;Pound;South America
2024-09-02T23:34:49;Faroe Islands;Torshavn;Krone;Europe
2024-09-02T23:34:50;Fiji;Suva;Dollar;Oceania
2024-09-02T23:34:50;Finland;Helsinki;Euro;Europe
2024-09-02T23:34:50;France;Paris;Euro;Europe
2024-09-02T23:34:50;French Guiana;Cayenne;Euro;South America
2024-09-02T23:34:50;French Polynesia;Papeete;Franc;Oceania
2024-09-02T23:34:50;French Southern Territories;Port-aux-Francais;Euro;Antractica
