127.0.0.1, 2022-03-01 16:37:30, GET, /, HTTP/1.1, 303, 0.007000
127.0.0.1, 2022-03-01 16:37:30, GET, /welcome/default/index, HTTP/1.1, 200, 0.177000
127.0.0.1, 2022-03-01 16:37:30, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2022-03-01 16:37:30, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2022-03-01 16:37:30, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2022-03-01 16:37:30, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2022-03-01 16:37:30, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2022-03-01 16:37:30, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2022-03-01 16:37:30, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2022-03-01 16:37:30, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2022-03-01 16:37:30, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2022-03-01 16:37:30, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2022-03-01 16:37:30, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-03-01 16:37:38, GET, /admin/default/site, HTTP/1.1, 303, 0.159000
127.0.0.1, 2022-03-01 16:37:38, GET, /admin/default/index, HTTP/1.1, 200, 0.034000
127.0.0.1, 2022-03-01 16:37:38, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2022-03-01 16:37:40, POST, /admin/default/index, HTTP/1.1, 303, 0.016000
127.0.0.1, 2022-03-01 16:37:40, GET, /admin/default/site, HTTP/1.1, 200, 0.042000
127.0.0.1, 2022-03-01 16:37:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-03-01 16:37:41, POST, /admin/default/check_version, HTTP/1.1, 200, 0.547000
127.0.0.1, 2022-03-01 16:37:43, GET, /places/default/index, HTTP/1.1, 500, 0.072000
127.0.0.1, 2022-03-01 16:37:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-03-01 16:41:05, GET, /, HTTP/1.1, 303, 0.007000
127.0.0.1, 2022-03-01 16:41:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.104000
127.0.0.1, 2022-03-01 16:41:06, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2022-03-01 16:41:06, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2022-03-01 16:41:06, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2022-03-01 16:41:06, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2022-03-01 16:41:06, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2022-03-01 16:41:06, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2022-03-01 16:41:06, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2022-03-01 16:41:06, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2022-03-01 16:41:06, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2022-03-01 16:41:06, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2022-03-01 16:41:10, GET, /admin/default/index, HTTP/1.1, 303, 0.104000
127.0.0.1, 2022-03-01 16:41:10, GET, /admin/default/site, HTTP/1.1, 200, 0.058000
127.0.0.1, 2022-03-01 16:41:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-03-01 16:41:20, GET, /admin/default/compile_app/places, HTTP/1.1, 303, 0.599000
127.0.0.1, 2022-03-01 16:41:20, GET, /admin/default/site, HTTP/1.1, 200, 0.027000
127.0.0.1, 2022-03-01 16:41:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-03-01 16:41:27, GET, /admin/default/about/places, HTTP/1.1, 500, 0.063000
127.0.0.1, 2022-03-01 16:41:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-03-01 16:41:33, GET, /admin/default/site, HTTP/1.1, 200, 0.029000
127.0.0.1, 2022-03-01 16:41:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-03-01 16:41:35, GET, /places/default/index, HTTP/1.1, 200, 0.215000
127.0.0.1, 2022-03-01 16:41:35, GET, /places/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2022-03-01 16:41:35, GET, /places/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2022-03-01 16:41:35, GET, /places/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2022-03-01 16:41:35, GET, /places/static/css/web2py.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2022-03-01 16:41:35, GET, /places/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2022-03-01 16:41:35, GET, /places/static/js/calendar.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2022-03-01 16:41:35, GET, /places/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.006000
